attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,exact_reconfirmed,rho_high_final,rho_two_final,dynamic_equivalence_class
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,64728,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,500418,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,240510,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,52329,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,93906,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,123858,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,568650,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,734529,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,17124,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,597831,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,149211,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,203685,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,752376,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,359253,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,937821,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,928734,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,292548,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,504324,True,0.7954577523024531,0.7954577523024531,8
