property_id,perturbed_parameter,perturbed_value,R_fast_exact,span_fast_1p5_exact,exact_fast_attained,fast_firing_pass_exact,nucleation_facile_pass_exact,PR_off_pass_exact,evidence_level,boundary_role
OAT0039,Q_PR_delta_kJ,50.0,1.7961615996602476,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0040,Q_PR_delta_kJ,75.0,1.7961615996602711,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0041,Q_PR_delta_kJ,100.0,1.796161599660277,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0042,Q_closed_delta_kJ,-100.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0043,Q_closed_delta_kJ,-75.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0044,Q_closed_delta_kJ,-50.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0045,Q_closed_delta_kJ,-25.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0046,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0047,Q_closed_delta_kJ,25.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0048,Q_closed_delta_kJ,50.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0049,Q_closed_delta_kJ,75.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0050,Q_closed_delta_kJ,100.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0051,k_nuc_factor,0.03,1.4743536330565572,0.0,True,False,False,False,exact OAT,interior
OAT0052,k_nuc_factor,0.1,1.6545446209744938,0.1130000000000001,True,True,False,True,exact OAT,interior
OAT0053,k_nuc_factor,0.3,1.7745429099266907,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0054,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0055,k_nuc_factor,3.0,1.7884331742842277,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0056,k_nuc_factor,10.0,1.4620948948627477,0.0,True,False,False,False,exact OAT,interior
OAT0057,k_nuc_factor,30.0,1.2342659176040045,0.0,True,False,False,False,exact OAT,interior
OAT0058,k_exchange_factor,0.03,1.8011488659620272,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0059,k_exchange_factor,0.1,1.8007872017059894,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0060,k_exchange_factor,0.3,1.799755000476099,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0061,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0062,k_exchange_factor,3.0,1.7860542101050974,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0063,k_exchange_factor,10.0,1.7524352558079517,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0064,k_exchange_factor,30.0,1.669040981816203,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0065,k_transport_factor,0.03,1.7961616834553462,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0066,k_transport_factor,0.1,1.7961616774082352,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0067,k_transport_factor,0.3,1.7961616601307857,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0068,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0069,k_transport_factor,3.0,1.7961614268857842,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0070,k_transport_factor,10.0,1.7961608221812273,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0071,k_transport_factor,30.0,1.796159094491805,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0072,k_growth_factor,0.03,1.1800417911744174,0.0,True,False,False,False,exact OAT,interior
OAT0073,k_growth_factor,0.1,1.4037713824064382,0.0,True,False,False,False,exact OAT,interior
OAT0074,k_growth_factor,0.3,1.6208972468645897,0.1450000000000001,True,True,False,True,exact OAT,interior
OAT0075,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0076,k_growth_factor,3.0,1.523966349641356,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0077,k_growth_factor,10.0,1.508203080449597,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0078,k_growth_factor,30.0,1.510043496618075,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0079,k_PR_factor,0.03,1.7961615996550675,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0080,k_PR_factor,0.1,1.796161599655094,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0081,k_PR_factor,0.3,1.7961615996554716,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0082,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0083,k_PR_factor,3.0,1.7961615996975164,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0084,k_PR_factor,10.0,1.796161600126943,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0085,k_PR_factor,30.0,1.79616160390215,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0086,k_closed_factor,0.03,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0087,k_closed_factor,0.1,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0088,k_closed_factor,0.3,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0089,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0090,k_closed_factor,3.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0091,k_closed_factor,10.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0092,k_closed_factor,30.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
BASE,Q_nuc_delta_kJ,0.0,1.7961615996597604,0.1700000000000001,True,True,False,True,exact base/OAT center,survival_edge
