model_style,G0_nm,T1_heating_rate_C_min,rho_switch,T2_C,first_step_attained,classification_5pct,growth_fraction,rho1,G1_nm,first_time_h,first_mean_radius_nm,first_large_fraction,first_fine_fraction,first_f_pore,first_connected_coverage,first_isolation,first_activity,first_E_G,rho2,G2_nm,second_time_h,second_initial_rho_dot,second_final_rho_dot,second_initial_dGdt_nm_s,second_final_dGdt_nm_s,second_median_E_G,second_mean_radius_nm,second_large_fraction,second_fine_fraction,second_f_pore,second_connected_coverage,second_isolation,second_activity
connectivity,75.0,20.0,0.85,1000.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.00020722879056840837,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.850277767314944,166.69964383053673,95.95,2.05090429780831e-10,2.2298518620489638e-10,9.181190123750519e-08,1.0822646226037167e-07,0.35714065130707584,51.58590407195234,0.07762761975104379,0.3945520905281278,0.32548302773524207,0.23723432097752692,0.059393155136043,0.13295610707885036
connectivity,75.0,20.0,0.85,1025.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.0008790779698894028,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.8505176363427032,166.81161764523918,95.95,8.781651541122264e-10,9.376119793919366e-10,3.920820298087091e-07,4.5631390123507446e-07,0.3573060313225359,51.501097480394634,0.07742273468150163,0.3963328202442921,0.3258112093840362,0.2368543937955615,0.06014200927550453,0.16750913836122036
connectivity,75.0,20.0,0.85,1050.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.003399760697379226,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.8513785370541259,167.23172749926457,95.95,3.347825058622804e-09,3.445010730973561e-09,1.5153619043944732e-06,1.7652898405265481e-06,0.3463076059860195,51.397779516188365,0.07727624880244387,0.39878851057000436,0.32571783447642044,0.23454290146321616,0.06290303274782563,0.20695518049640585
connectivity,75.0,20.0,0.85,1075.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.011772210823469588,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.8538848190349235,168.62712278719488,95.95,1.0951539700410995e-08,1.0307768467737831e-08,5.113381005032789e-06,6.237901145728769e-06,0.3146794696174419,51.38920609999275,0.07770279752303043,0.4001774097013267,0.3237790341507192,0.2264622804620635,0.07162746519607287,0.24979527525757067
connectivity,75.0,20.0,0.85,1100.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.03565992256037643,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.8591972288729272,172.60837079645387,95.95,2.989089288454646e-08,2.2290810957952613e-08,1.4659336957844134e-05,1.9476546871529992e-05,0.25498523575318105,51.68409158218896,0.07954742184683787,0.39695734189893217,0.3189589012618925,0.2082699353355731,0.093908395527025,0.29396558991187943
connectivity,75.0,20.0,0.85,1125.0,True,MIXED_FAILURE,0.09143430139126991,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.8667876583964521,181.90401355762629,95.95,6.830042291353937e-08,3.298105536163225e-08,3.5844135096617945e-05,4.953899541960585e-05,0.18059320174313548,52.36109214829222,0.08305839493654589,0.387583889422374,0.3148989366464521,0.18307997986242475,0.13644569491617214,0.3406525090641691
connectivity,75.0,20.0,0.85,1150.0,True,MIXED_FAILURE,0.1980816675936699,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.8748973410969422,199.67840815273615,95.95,1.3515320464963331e-07,3.8367943285297745e-08,7.733434048629912e-05,0.0001010211399025493,0.11854825831129759,53.25776667775405,0.0875597750850853,0.3747947461130237,0.3182961091164318,0.15947481339315572,0.19867565631479522,0.39441670692616193
connectivity,75.0,20.0,0.85,1175.0,True,MIXED_FAILURE,0.3748181920158537,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.8827211810989415,229.13421973355204,95.95,2.413676248804706e-07,4.050836288773446e-08,0.00015338368645109187,0.00017422919542843591,0.07920814659947782,54.2406695939248,0.09255638428445742,0.3610029059355193,0.3325968062009843,0.14082020340663548,0.27689133260601956,0.45689146733009994
connectivity,75.0,20.0,0.85,1200.0,True,MIXED_FAILURE,0.6396357362746034,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.8901075784691086,273.27006382397144,95.95,4.0159132439767993e-07,4.0739786909877085e-08,0.0002884809247526309,0.00026735536698872645,0.05715036896931475,55.262009009181256,0.09789240016898736,0.3471195541870904,0.35788736192926185,0.12646301437470933,0.365962095768861,0.5253910663472343
connectivity,75.0,20.0,0.85,1225.0,True,MIXED_FAILURE,1.0070729519067783,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.8969422212928198,334.5090263238046,95.95,6.349585329475429e-07,3.9488063566350944e-08,0.0005241779201722769,0.0003781862793939251,0.0448270712863267,56.29046876818183,0.10343958902573917,0.33365482360356014,0.3925804866278092,0.11528398222226634,0.45763268884372543,0.5954562566162926
