model_style,rho0,peak_C,heating_rate_C_min,n_scored,n_positive,lowest_positive_G0_nm,highest_positive_G0_nm,max_HR_pct
density,0.8,1300.0,10.0,1,1,2000.0,2000.0,0.030714491116517657
density,0.8,1300.0,20.0,1,1,2000.0,2000.0,0.031015417097893978
density,0.8,1300.0,50.0,0,0,nan,nan,nan
density,0.8,1300.0,100.0,0,0,nan,nan,nan
density,0.8,1400.0,0.5,14,11,25.0,2000.0,2.1457973467335174
density,0.8,1400.0,1.0,14,12,25.0,2000.0,3.0821564728522124
density,0.8,1400.0,2.0,14,12,25.0,2000.0,3.580786602423656
density,0.8,1400.0,5.0,11,9,75.0,2000.0,3.8886771901298256
density,0.8,1400.0,10.0,10,8,100.0,2000.0,3.9118222443676096
density,0.8,1400.0,20.0,10,8,100.0,2000.0,3.9636054797570948
density,0.8,1400.0,50.0,9,7,150.0,2000.0,3.6417328444828723
density,0.8,1400.0,100.0,9,7,150.0,2000.0,3.6517370899850095
density,0.8,1450.0,0.5,14,4,800.0,2000.0,0.05593569156865434
density,0.8,1450.0,1.0,14,3,1000.0,2000.0,0.055769121196035894
density,0.8,1450.0,2.0,14,3,1000.0,2000.0,0.06420947743116705
density,0.8,1450.0,5.0,14,3,1000.0,2000.0,0.06586874594225983
density,0.8,1450.0,10.0,14,3,1000.0,2000.0,0.06552777977466852
density,0.8,1450.0,20.0,14,3,1000.0,2000.0,0.06690369292555091
density,0.8,1450.0,50.0,14,3,1000.0,2000.0,0.06708200656776273
density,0.8,1450.0,100.0,14,3,1000.0,2000.0,0.06614683126464427
connectivity,0.6,1300.0,0.5,0,0,nan,nan,nan
connectivity,0.6,1300.0,1.0,0,0,nan,nan,nan
connectivity,0.6,1300.0,2.0,0,0,nan,nan,nan
connectivity,0.6,1300.0,5.0,0,0,nan,nan,nan
connectivity,0.6,1300.0,10.0,0,0,nan,nan,nan
connectivity,0.6,1300.0,20.0,0,0,nan,nan,nan
connectivity,0.6,1300.0,50.0,0,0,nan,nan,nan
connectivity,0.6,1300.0,100.0,0,0,nan,nan,nan
connectivity,0.6,1400.0,0.5,14,12,50.0,2000.0,3.73356002558037
connectivity,0.6,1400.0,1.0,8,8,225.0,2000.0,5.104095870951981
connectivity,0.6,1400.0,2.0,8,8,225.0,2000.0,5.946472276409257
connectivity,0.6,1400.0,5.0,7,7,300.0,2000.0,5.659420587310904
connectivity,0.6,1400.0,10.0,7,7,300.0,2000.0,5.831679750298914
connectivity,0.6,1400.0,20.0,7,7,300.0,2000.0,5.9188259416518845
connectivity,0.6,1400.0,50.0,7,7,300.0,2000.0,5.971561234995641
connectivity,0.6,1400.0,100.0,7,7,300.0,2000.0,5.989028244740247
connectivity,0.6,1450.0,0.5,14,5,150.0,2000.0,0.6411401120823654
connectivity,0.6,1450.0,1.0,14,7,100.0,2000.0,2.09853204738321
connectivity,0.6,1450.0,2.0,14,8,100.0,2000.0,2.9640696704194784
connectivity,0.6,1450.0,5.0,14,9,75.0,2000.0,3.5208235557299172
connectivity,0.6,1450.0,10.0,14,9,75.0,2000.0,3.7122893783742144
connectivity,0.6,1450.0,20.0,14,9,75.0,2000.0,3.809537685799005
connectivity,0.6,1450.0,50.0,14,9,75.0,2000.0,3.8683109918841487
connectivity,0.6,1450.0,100.0,14,9,75.0,2000.0,3.887843728561891
connectivity,0.7,1300.0,0.5,0,0,nan,nan,nan
connectivity,0.7,1300.0,1.0,0,0,nan,nan,nan
connectivity,0.7,1300.0,2.0,0,0,nan,nan,nan
connectivity,0.7,1300.0,5.0,0,0,nan,nan,nan
connectivity,0.7,1300.0,10.0,0,0,nan,nan,nan
connectivity,0.7,1300.0,20.0,0,0,nan,nan,nan
connectivity,0.7,1300.0,50.0,0,0,nan,nan,nan
connectivity,0.7,1300.0,100.0,0,0,nan,nan,nan
connectivity,0.7,1400.0,0.5,14,11,75.0,2000.0,3.8462529371217538
connectivity,0.7,1400.0,1.0,10,10,100.0,2000.0,5.635679971655148
connectivity,0.7,1400.0,2.0,8,8,225.0,2000.0,6.653833431259503
connectivity,0.7,1400.0,5.0,8,8,225.0,2000.0,7.310471869812303
connectivity,0.7,1400.0,10.0,8,8,225.0,2000.0,7.537870055521318
connectivity,0.7,1400.0,20.0,8,8,225.0,2000.0,7.653160211674092
connectivity,0.7,1400.0,50.0,8,8,225.0,2000.0,7.72269337621199
connectivity,0.7,1400.0,100.0,8,8,225.0,2000.0,7.746011750591208
connectivity,0.7,1450.0,0.5,14,4,800.0,2000.0,0.19941428325583255
connectivity,0.7,1450.0,1.0,14,6,150.0,2000.0,1.4072984311942167
connectivity,0.7,1450.0,2.0,14,7,150.0,2000.0,2.370183839414242
connectivity,0.7,1450.0,5.0,14,7,150.0,2000.0,3.008843676136041
connectivity,0.7,1450.0,10.0,14,8,100.0,2000.0,3.2322467966596466
connectivity,0.7,1450.0,20.0,14,8,100.0,2000.0,3.3453824187112926
connectivity,0.7,1450.0,50.0,14,8,100.0,2000.0,3.4138381643909206
connectivity,0.7,1450.0,100.0,14,8,100.0,2000.0,3.436723930985574
connectivity,0.8,1300.0,0.5,4,4,800.0,2000.0,0.28267873714338654
connectivity,0.8,1300.0,1.0,0,0,nan,nan,nan
connectivity,0.8,1300.0,2.0,0,0,nan,nan,nan
connectivity,0.8,1300.0,5.0,0,0,nan,nan,nan
connectivity,0.8,1300.0,10.0,0,0,nan,nan,nan
connectivity,0.8,1300.0,20.0,0,0,nan,nan,nan
connectivity,0.8,1300.0,50.0,0,0,nan,nan,nan
connectivity,0.8,1300.0,100.0,0,0,nan,nan,nan
connectivity,0.8,1400.0,0.5,14,10,100.0,2000.0,2.9731000601667494
connectivity,0.8,1400.0,1.0,14,10,100.0,2000.0,4.685835223103056
connectivity,0.8,1400.0,2.0,14,10,100.0,2000.0,5.708334345895742
connectivity,0.8,1400.0,5.0,11,10,100.0,2000.0,6.377666616389112
connectivity,0.8,1400.0,10.0,10,10,100.0,2000.0,6.6099749162268795
connectivity,0.8,1400.0,20.0,10,10,100.0,2000.0,6.72789324804173
connectivity,0.8,1400.0,50.0,9,9,150.0,2000.0,6.799080239388143
connectivity,0.8,1400.0,100.0,9,9,150.0,2000.0,6.82278993981953
connectivity,0.8,1450.0,0.5,14,5,600.0,2000.0,0.20763426795774986
connectivity,0.8,1450.0,1.0,14,4,800.0,2000.0,0.20245471257933204
connectivity,0.8,1450.0,2.0,14,6,225.0,2000.0,0.5773920380155779
connectivity,0.8,1450.0,5.0,14,6,225.0,2000.0,1.2524371912827075
connectivity,0.8,1450.0,10.0,14,6,225.0,2000.0,1.4909813702332984
connectivity,0.8,1450.0,20.0,14,6,225.0,2000.0,1.612076687406724
connectivity,0.8,1450.0,50.0,14,6,225.0,2000.0,1.6856516571628755
connectivity,0.8,1450.0,100.0,14,6,225.0,2000.0,1.7104794838868396
hybrid_topology,0.6,1300.0,0.5,0,0,nan,nan,nan
hybrid_topology,0.6,1300.0,1.0,0,0,nan,nan,nan
hybrid_topology,0.6,1300.0,2.0,0,0,nan,nan,nan
hybrid_topology,0.6,1300.0,5.0,0,0,nan,nan,nan
hybrid_topology,0.6,1300.0,10.0,0,0,nan,nan,nan
hybrid_topology,0.6,1300.0,20.0,0,0,nan,nan,nan
hybrid_topology,0.6,1300.0,50.0,0,0,nan,nan,nan
hybrid_topology,0.6,1300.0,100.0,0,0,nan,nan,nan
hybrid_topology,0.6,1400.0,0.5,14,10,50.0,2000.0,1.7988492437712484
hybrid_topology,0.6,1400.0,1.0,8,6,225.0,2000.0,2.502575211841478
hybrid_topology,0.6,1400.0,2.0,8,7,225.0,2000.0,3.1114972473607656
hybrid_topology,0.6,1400.0,5.0,7,7,300.0,2000.0,2.730769714145614
hybrid_topology,0.6,1400.0,10.0,7,7,300.0,2000.0,2.863326437420397
hybrid_topology,0.6,1400.0,20.0,7,7,300.0,2000.0,2.9307306342923574
hybrid_topology,0.6,1400.0,50.0,7,7,300.0,2000.0,2.9716350443129476
hybrid_topology,0.6,1400.0,100.0,7,7,300.0,2000.0,2.9852304283415787
hybrid_topology,0.6,1450.0,0.5,14,4,800.0,2000.0,0.07455623636722103
hybrid_topology,0.6,1450.0,1.0,14,3,1000.0,2000.0,0.08662399298063024
hybrid_topology,0.6,1450.0,2.0,14,3,1000.0,2000.0,0.09556440209513346
hybrid_topology,0.6,1450.0,5.0,14,5,100.0,2000.0,0.3637857508779674
hybrid_topology,0.6,1450.0,10.0,14,5,100.0,2000.0,0.5120884621314661
hybrid_topology,0.6,1450.0,20.0,14,5,100.0,2000.0,0.5878774240173991
hybrid_topology,0.6,1450.0,50.0,14,5,100.0,2000.0,0.6337550170939169
hybrid_topology,0.6,1450.0,100.0,14,5,100.0,2000.0,0.6489750266412058
hybrid_topology,0.7,1300.0,0.5,0,0,nan,nan,nan
hybrid_topology,0.7,1300.0,1.0,0,0,nan,nan,nan
hybrid_topology,0.7,1300.0,2.0,0,0,nan,nan,nan
hybrid_topology,0.7,1300.0,5.0,0,0,nan,nan,nan
hybrid_topology,0.7,1300.0,10.0,0,0,nan,nan,nan
hybrid_topology,0.7,1300.0,20.0,0,0,nan,nan,nan
hybrid_topology,0.7,1300.0,50.0,0,0,nan,nan,nan
hybrid_topology,0.7,1300.0,100.0,0,0,nan,nan,nan
hybrid_topology,0.7,1400.0,0.5,14,9,75.0,2000.0,1.8167663365600901
hybrid_topology,0.7,1400.0,1.0,10,8,100.0,2000.0,2.9505430995266537
hybrid_topology,0.7,1400.0,2.0,8,6,225.0,2000.0,3.5262819726753007
hybrid_topology,0.7,1400.0,5.0,8,8,225.0,2000.0,4.02630434419185
hybrid_topology,0.7,1400.0,10.0,8,8,225.0,2000.0,4.202655096375091
hybrid_topology,0.7,1400.0,20.0,8,8,225.0,2000.0,4.292520461923825
hybrid_topology,0.7,1400.0,50.0,8,8,225.0,2000.0,4.3470200702766775
hybrid_topology,0.7,1400.0,100.0,8,8,225.0,2000.0,4.365288063968439
hybrid_topology,0.7,1450.0,0.5,14,4,800.0,2000.0,0.0817718380336054
hybrid_topology,0.7,1450.0,1.0,14,3,1000.0,2000.0,0.0873431321199959
hybrid_topology,0.7,1450.0,2.0,14,3,1000.0,2000.0,0.09639841815431448
hybrid_topology,0.7,1450.0,5.0,14,4,150.0,2000.0,0.17046503423250436
hybrid_topology,0.7,1450.0,10.0,14,4,150.0,2000.0,0.34258212534132293
hybrid_topology,0.7,1450.0,20.0,14,4,150.0,2000.0,0.4305960390260888
hybrid_topology,0.7,1450.0,50.0,14,4,150.0,2000.0,0.48379903369138944
hybrid_topology,0.7,1450.0,100.0,14,4,150.0,2000.0,0.5016008236201697
hybrid_topology,0.8,1300.0,0.5,4,4,800.0,2000.0,0.13609163376597927
hybrid_topology,0.8,1300.0,1.0,3,3,1000.0,2000.0,0.1378336489534395
hybrid_topology,0.8,1300.0,2.0,2,2,1500.0,2000.0,0.08053714179460106
hybrid_topology,0.8,1300.0,5.0,0,0,nan,nan,nan
hybrid_topology,0.8,1300.0,10.0,0,0,nan,nan,nan
hybrid_topology,0.8,1300.0,20.0,0,0,nan,nan,nan
hybrid_topology,0.8,1300.0,50.0,0,0,nan,nan,nan
hybrid_topology,0.8,1300.0,100.0,0,0,nan,nan,nan
hybrid_topology,0.8,1400.0,0.5,14,7,150.0,2000.0,1.2380847854559214
hybrid_topology,0.8,1400.0,1.0,14,8,100.0,2000.0,2.3737751489844934
hybrid_topology,0.8,1400.0,2.0,14,8,100.0,2000.0,3.1136513201995526
hybrid_topology,0.8,1400.0,5.0,11,8,100.0,2000.0,3.6167616018552713
hybrid_topology,0.8,1400.0,10.0,10,8,100.0,2000.0,3.7940539981858667
hybrid_topology,0.8,1400.0,20.0,10,8,100.0,2000.0,3.8846799748934773
hybrid_topology,0.8,1400.0,50.0,9,7,150.0,2000.0,3.939531175346207
hybrid_topology,0.8,1400.0,100.0,9,7,150.0,2000.0,3.9577649547021765
hybrid_topology,0.8,1450.0,0.5,14,4,800.0,2000.0,0.08053419976640047
hybrid_topology,0.8,1450.0,1.0,14,3,1000.0,2000.0,0.07769097772772504
hybrid_topology,0.8,1450.0,2.0,14,3,1000.0,2000.0,0.09153267951882935
hybrid_topology,0.8,1450.0,5.0,14,3,1000.0,2000.0,0.09645881865012691
hybrid_topology,0.8,1450.0,10.0,14,3,1000.0,2000.0,0.0983569130609383
hybrid_topology,0.8,1450.0,20.0,14,3,1000.0,2000.0,0.09948294221958616
hybrid_topology,0.8,1450.0,50.0,14,3,1000.0,2000.0,0.1007620450989079
hybrid_topology,0.8,1450.0,100.0,14,3,1000.0,2000.0,0.10005540220876633
