material_id,peak_T_C,hold_h,fast_rate_C_min,attained,max_ratio,median_ratio,span_ge_1p2,span_ge_1p5,span_ge_2p0,integrated_separation,effect_rho_min,effect_rho_max,meaningful,extreme_warning,promotion_blocked,rejection_reason,Q_GB_diffusion,D_GB_prefactor,Q_surface_diffusion,D_surface_prefactor,Q_disconnection_nucleation,v_star,nu0_nucleation,Q_exchange,tau_exchange_prefactor,Q_transport,tau_transport_prefactor,stress_concentration,gamma_s,gamma_GB,zeta_eta_ratio,event_strain,pore_radius0,pore_ln_sigma,G0,rho0,PR_prefactor,PR_partition,activity_form,ablation_mode
E0022,1550,8,20,True,1.0001922212342589,1.0001530463241892,0.0,0.0,0.0,2.5199142492758113e-05,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,700000.0,0.0002,400000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,3.0000000000000004e-07,0.75,0.002,smoothing,serial_fraction,full_material_model
E0024,1450,20,20,True,1.0,0.9999999314350835,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,625000.0,0.0002,550000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,10,1.0,0.35,1,0.004,3.5e-08,0.95,2.2500000000000002e-07,0.75,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0025,1450,8,20,True,1.1974070754426545,1.140523172183952,0.0,0.0,0.0,0.022380622429793367,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,325000.0,0.0002,450000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,1.5000000000000002e-07,0.65,2e-05,smoothing,serial_fraction,full_material_model
E0026,1450,8,20,True,0.9999996536097938,0.9999986234741083,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,550000.0,0.0002,350000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.0000000000000001e-07,0.7,2e-06,balanced,serial_fraction,full_material_model
E0028,1450,20,20,True,0.999992536631661,0.9999925285774683,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,550000.0,0.0002,550000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,5.0000000000000004e-08,0.7,0.002,large_pore_tail,serial_fraction,full_material_model
E0030,1450,8,20,True,0.9999999731188285,0.999999863105416,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,475000.0,0.0002,350000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,3.0000000000000004e-07,0.7,2e-05,GB_to_TJ,serial_fraction,full_material_model
E0031,1550,20,20,True,1.000248068046416,1.0002462995257595,0.0,0.0,0.0,4.141997487124343e-05,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,700000.0,0.0002,600000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,2.2500000000000002e-07,0.75,2e-06,large_pore_tail,serial_fraction,full_material_model
E0032,1450,8,20,True,0.9999996164051599,0.9999996108747116,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,400000.0,0.0002,500000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,1.5000000000000002e-07,0.65,2e-06,isolation,serial_fraction,full_material_model
E0033,1550,20,20,True,1.0,0.9999998214934785,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,625000.0,0.0002,400000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,1.0000000000000001e-07,0.75,0.002,smoothing,serial_fraction,full_material_model
E0035,1450,8,20,True,1.0003214663115125,1.0003193268849844,0.0,0.0,0.0,5.418365569502496e-05,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,625000.0,0.0002,600000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,5.0000000000000004e-08,0.7,2e-05,isolation,serial_fraction,full_material_model
E0036,1450,8,20,True,0.999998047408797,0.9999975096775443,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,325000.0,0.0002,500000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction,full_material_model
E0037,1450,8,20,True,1.0000000009293855,1.0000000009014067,0.0,0.0,0.0,1.530286241479426e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,550000.0,0.0002,400000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,1,0.004,3.5e-08,0.65,3.0000000000000004e-07,0.7,2e-06,balanced,serial_fraction,full_material_model
E0039,1550,20,20,True,1.0373020928311127,1.0133654235841985,0.0,0.0,0.0,0.002629288114492613,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,475000.0,0.0002,550000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.5000000000000002e-07,0.7,0.0002,large_pore_tail,serial_fraction,full_material_model
E0040,1450,8,20,True,1.0000000076598479,0.9999999887154126,0.0,0.0,0.0,2.854601695092897e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,700000.0,0.0002,450000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,1.0000000000000001e-07,0.75,0.0002,balanced,serial_fraction,full_material_model
E0041,1450,8,20,True,1.0000000116734058,1.0000000113694982,0.0,0.0,0.0,1.931736542073236e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,400000.0,0.0002,350000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,7.500000000000001e-08,0.65,2e-05,GB_to_TJ,serial_fraction,full_material_model
E0044,1450,20,20,True,0.9999764704233658,0.9999763539767288,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,625000.0,0.0002,450000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,3.0000000000000004e-07,0.7,0.002,smoothing,serial_fraction,full_material_model
E0045,1450,8,20,True,1.000000001744432,1.00000000159278,0.0,0.0,0.0,2.6168620461236606e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,325000.0,0.0002,350000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,2.2500000000000002e-07,0.65,0.0002,large_pore_tail,serial_fraction,full_material_model
E0047,1450,8,20,True,1.000002296073172,0.9990964525306003,0.0,0.0,0.0,2.2960705360647592e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,250000.0,0.0002,500000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,1.0000000000000001e-07,0.75,2e-06,smoothing,serial_fraction,full_material_model
E0048,1450,8,20,True,0.9999998908370332,0.9999994805121946,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,475000.0,0.0002,400000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.0000000000000001e-07,0.7,2e-06,balanced,serial_fraction,full_material_model
E0049,1550,20,20,True,1.0,0.9999648543872134,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,350000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,7.500000000000001e-08,0.75,0.002,GB_to_TJ,serial_fraction,full_material_model
E0051,1450,8,20,True,1.001531008637905,1.0008554329847577,0.0,0.0,0.0,0.0001402932939232773,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,700000.0,0.0002,500000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,3.0000000000000004e-07,0.75,2e-05,balanced,serial_fraction,full_material_model
E0052,1450,8,20,True,0.999999986312319,0.9999999612060169,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,400000.0,0.0002,400000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,2.2500000000000002e-07,0.65,2e-05,GB_to_TJ,serial_fraction,full_material_model
E0054,1550,8,20,True,1.0000000210174438,0.999999946950684,0.0,0.0,0.0,1.165920392278025e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,325000.0,0.0002,550000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,1.5000000000000002e-07,0.65,0.002,isolation,serial_fraction,full_material_model
E0055,1450,8,20,True,0.9990471268424216,0.9954271162943638,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,550000.0,0.0002,450000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.0000000000000001e-07,0.7,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0056,1450,8,20,True,1.0000000016961084,0.999991483842199,0.0,0.0,0.0,1.6961083634297193e-12,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,325000.0,0.0002,400000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,7.500000000000001e-08,0.75,0.0002,large_pore_tail,serial_fraction,full_material_model
E0060,1550,8,20,True,1.0,0.9996848109107556,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,700000.0,0.0002,350000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,2.2500000000000002e-07,0.75,0.002,isolation,serial_fraction,full_material_model
E0062,1450,8,20,True,1.000000004557015,1.0000000008532581,0.0,0.0,0.0,2.6148575775140176e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,625000.0,0.0002,500000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.0000000000000001e-07,0.7,2e-05,balanced,serial_fraction,full_material_model
E0064,1450,8,20,True,0.999998547141542,0.9999941502073104,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,625000.0,0.0002,350000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,5.0000000000000004e-08,0.7,2e-06,large_pore_tail,serial_fraction,full_material_model
E0066,1450,8,20,True,1.000000000690267,1.0000000002284648,0.0,0.0,0.0,4.691487797267455e-11,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,550000.0,0.0002,500000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,1,0.004,3.5e-08,0.65,3.0000000000000004e-07,0.7,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0067,1450,8,20,True,1.0001096911700647,1.000093073277328,0.0,0.0,0.0,1.431230549672173e-05,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,250000.0,0.0002,400000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,2.2500000000000002e-07,0.75,2e-05,large_pore_tail,serial_fraction,full_material_model
E0069,1450,20,20,True,1.0000926152944987,1.0000912919855443,0.0,0.0,0.0,1.51711211369626e-05,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,700000.0,0.0002,550000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,1,0.004,3.5e-08,0.95,1.0000000000000001e-07,0.75,2e-06,smoothing,serial_fraction,full_material_model
E0070,1450,20,20,True,0.9999999912164145,0.9999999912163027,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,475000.0,0.0002,500000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,7.500000000000001e-08,0.65,0.002,large_pore_tail,serial_fraction,full_material_model
E0071,1450,8,20,True,0.9259981246289537,0.9194117640910825,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,700000.0,0.0002,400000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,5.0000000000000004e-08,0.7,0.0002,isolation,serial_fraction,full_material_model
E0073,1450,20,20,True,1.0000114576202181,1.0000114447646242,0.0,0.0,0.0,1.9454286266598373e-06,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,625000.0,0.0002,550000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,3.0000000000000004e-07,0.7,2e-05,balanced,serial_fraction,full_material_model
E0074,1450,8,20,True,1.0000000014763906,0.9999999669901395,0.0,0.0,0.0,7.008698284639963e-12,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,325000.0,0.0002,450000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,2.2500000000000002e-07,0.75,2e-06,GB_to_TJ,serial_fraction,full_material_model
E0077,1550,20,20,True,1.0012670242416706,1.0011346948302724,0.0,0.0,0.0,0.00019196771935231922,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,550000.0,0.0002,550000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,7.500000000000001e-08,0.65,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0079,1450,8,20,True,1.0000000260584911,1.0000000257052435,0.0,0.0,0.0,4.363364432721065e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,475000.0,0.0002,350000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.35,5.0000000000000004e-08,0.65,2e-06,isolation,serial_fraction,full_material_model
E0081,1550,20,20,True,0.9997511332000142,0.9997137864625976,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,400000.0,0.0002,500000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,2.2500000000000002e-07,0.65,0.002,large_pore_tail,serial_fraction,full_material_model
E0082,1450,8,20,True,1.0000000021892306,0.9999999922838828,0.0,0.0,0.0,3.6743255077106305e-11,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,625000.0,0.0002,400000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,1,0.004,3.5e-08,0.65,1.5000000000000002e-07,0.7,0.0002,isolation,serial_fraction,full_material_model
E0085,1450,8,20,True,1.0,0.9999749936790042,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,325000.0,0.0002,500000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,1,0.004,3.5e-08,0.95,7.500000000000001e-08,0.75,2e-06,isolation,serial_fraction,full_material_model
E0086,1450,20,20,True,0.9999919139090068,0.999991909870207,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,550000.0,0.0002,400000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,5.0000000000000004e-08,0.65,0.002,smoothing,serial_fraction,full_material_model
E0089,1450,8,20,True,1.0001357324870876,1.000064627203179,0.0,0.0,0.0,1.1749544574931943e-05,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,700000.0,0.0002,450000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,1.5000000000000002e-07,0.7,2e-05,large_pore_tail,serial_fraction,full_material_model
E0090,1450,8,20,True,1.0000000032966914,1.0000000032164098,0.0,0.0,0.0,5.464650515526619e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,400000.0,0.0002,350000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,1.5000000000000002e-07,0.65,2e-06,balanced,serial_fraction,full_material_model
E0093,1450,8,20,True,0.9933616222074902,0.9716226783166625,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,625000.0,0.0002,450000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,5.0000000000000004e-08,0.7,0.0002,isolation,serial_fraction,full_material_model
E0094,1450,8,20,True,1.0000000007207752,1.0000000005960763,0.0,0.0,0.0,8.474205068397974e-11,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,325000.0,0.0002,350000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,3.0000000000000004e-07,0.75,2e-05,smoothing,serial_fraction,full_material_model
E0097,1550,20,20,True,1.000049421063776,1.000025009940538,0.0,0.0,0.0,4.598530958359683e-06,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,475000.0,0.0002,400000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,1.5000000000000002e-07,0.65,0.002,smoothing,serial_fraction,full_material_model
E0098,1450,8,20,True,0.9999990216136755,0.9999938587859064,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,350000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,1,0.004,3.5e-08,0.65,1.0000000000000001e-07,0.7,0.0002,balanced,serial_fraction,full_material_model
E0099,1550,20,20,True,1.000000878538246,1.0000008262346842,0.0,0.0,0.0,1.3880236709468834e-07,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,475000.0,0.0002,600000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,7.500000000000001e-08,0.65,2e-05,GB_to_TJ,serial_fraction,full_material_model
E0101,1450,8,20,True,1.0,0.9999989716353805,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,400000.0,0.0002,400000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,1,0.004,3.5e-08,0.95,3.0000000000000004e-07,0.75,2e-06,balanced,serial_fraction,full_material_model
E0104,1450,8,20,True,1.0000000040385422,1.0000000040103318,0.0,0.0,0.0,6.754101698936289e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,550000.0,0.0002,450000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.35,1.5000000000000002e-07,0.65,0.0002,isolation,serial_fraction,full_material_model
E0105,1450,8,20,True,1.0,0.9999984657223429,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,325000.0,0.0002,400000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,1.0000000000000001e-07,0.75,2e-05,GB_to_TJ,serial_fraction,full_material_model
E0108,1450,20,20,True,0.9999999801892528,0.9999999801889339,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,475000.0,0.0002,450000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,5.0000000000000004e-08,0.65,0.002,smoothing,serial_fraction,full_material_model
E0109,1450,8,20,True,0.9851296735094499,0.9616485749038062,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,700000.0,0.0002,350000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,3.0000000000000004e-07,0.7,0.0002,balanced,serial_fraction,full_material_model
