material_id,Q_GB_diffusion,D_GB_prefactor,Q_surface_diffusion,D_surface_prefactor,Q_disconnection_nucleation,v_star,nu0_nucleation,Q_exchange,tau_exchange_prefactor,Q_transport,tau_transport_prefactor,stress_concentration,gamma_s,gamma_GB,zeta_eta_ratio,event_strain,pore_radius0,pore_ln_sigma,G0,rho0,PR_prefactor,PR_partition,activity_form,ablation_mode
E0010,500000.0,2e-05,475000.0,0.0002,450000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.5000000000000002e-07,0.7,2e-06,isolation,serial_fraction,full_material_model
E0011,575000.0,2e-05,700000.0,0.0002,350000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,1.0000000000000001e-07,0.75,0.002,smoothing,serial_fraction,full_material_model
E0012,650000.0,2e-05,400000.0,0.0002,600000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,1.0000000000000001e-07,0.7,0.002,balanced,serial_fraction,full_material_model
E0013,350000.0,2e-05,625000.0,0.0002,500000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,7.500000000000001e-08,0.75,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0014,425000.0,2e-05,400000.0,0.0002,450000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,5.0000000000000004e-08,0.65,2e-05,large_pore_tail,serial_fraction,full_material_model
E0015,575000.0,2e-05,625000.0,0.0002,350000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,3.0000000000000004e-07,0.75,2e-06,balanced,serial_fraction,full_material_model
E0016,650000.0,2e-05,325000.0,0.0002,600000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,2.2500000000000002e-07,0.65,2e-06,GB_to_TJ,serial_fraction,full_material_model
E0017,350000.0,2e-05,550000.0,0.0002,500000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.5000000000000002e-07,0.7,0.002,large_pore_tail,serial_fraction,full_material_model
E0018,425000.0,2e-05,250000.0,0.0002,400000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.35,1.5000000000000002e-07,0.65,0.0002,isolation,serial_fraction,full_material_model
E0019,500000.0,2e-05,475000.0,0.0002,650000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,1.0000000000000001e-07,0.7,2e-05,smoothing,serial_fraction,full_material_model
E0020,650000.0,2e-05,700000.0,0.0002,550000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,7.500000000000001e-08,0.75,2e-05,large_pore_tail,serial_fraction,full_material_model
E0021,350000.0,2e-05,475000.0,0.0002,500000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,1,0.004,3.5e-08,0.65,5.0000000000000004e-08,0.7,2e-06,isolation,serial_fraction,full_material_model
E0022,425000.0,2e-05,700000.0,0.0002,400000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,3.0000000000000004e-07,0.75,0.002,smoothing,serial_fraction,full_material_model
E0023,500000.0,2e-05,400000.0,0.0002,650000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,2.2500000000000002e-07,0.65,0.0002,balanced,serial_fraction,full_material_model
E0024,575000.0,2e-05,625000.0,0.0002,550000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,10,1.0,0.35,1,0.004,3.5e-08,0.95,2.2500000000000002e-07,0.75,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0025,350000.0,2e-05,325000.0,0.0002,450000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,1.5000000000000002e-07,0.65,2e-05,smoothing,serial_fraction,full_material_model
E0026,425000.0,2e-05,550000.0,0.0002,350000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.0000000000000001e-07,0.7,2e-06,balanced,serial_fraction,full_material_model
E0027,500000.0,2e-05,250000.0,0.0002,600000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,7.500000000000001e-08,0.65,0.002,GB_to_TJ,serial_fraction,full_material_model
E0028,575000.0,2e-05,550000.0,0.0002,550000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,5.0000000000000004e-08,0.7,0.002,large_pore_tail,serial_fraction,full_material_model
E0029,650000.0,2e-05,250000.0,0.0002,450000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,3.0000000000000004e-07,0.75,0.0002,isolation,serial_fraction,full_material_model
E0030,425000.0,2e-05,475000.0,0.0002,350000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,3.0000000000000004e-07,0.7,2e-05,GB_to_TJ,serial_fraction,full_material_model
E0031,500000.0,2e-05,700000.0,0.0002,600000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,2.2500000000000002e-07,0.75,2e-06,large_pore_tail,serial_fraction,full_material_model
E0032,575000.0,2e-05,400000.0,0.0002,500000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,1.5000000000000002e-07,0.65,2e-06,isolation,serial_fraction,full_material_model
E0033,650000.0,2e-05,625000.0,0.0002,400000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,1.0000000000000001e-07,0.75,0.002,smoothing,serial_fraction,full_material_model
E0034,350000.0,2e-05,325000.0,0.0002,650000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.35,7.500000000000001e-08,0.65,0.0002,balanced,serial_fraction,full_material_model
E0035,500000.0,2e-05,625000.0,0.0002,600000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,5.0000000000000004e-08,0.7,2e-05,isolation,serial_fraction,full_material_model
E0036,575000.0,2e-05,325000.0,0.0002,500000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction,full_material_model
E0037,650000.0,2e-05,550000.0,0.0002,400000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,1,0.004,3.5e-08,0.65,3.0000000000000004e-07,0.7,2e-06,balanced,serial_fraction,full_material_model
E0038,350000.0,2e-05,250000.0,0.0002,650000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,2.2500000000000002e-07,0.75,0.002,GB_to_TJ,serial_fraction,full_material_model
E0039,425000.0,2e-05,475000.0,0.0002,550000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.5000000000000002e-07,0.7,0.0002,large_pore_tail,serial_fraction,full_material_model
E0040,575000.0,2e-05,700000.0,0.0002,450000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,1.0000000000000001e-07,0.75,0.0002,balanced,serial_fraction,full_material_model
E0041,650000.0,2e-05,400000.0,0.0002,350000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,7.500000000000001e-08,0.65,2e-05,GB_to_TJ,serial_fraction,full_material_model
E0042,350000.0,2e-05,700000.0,0.0002,650000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,7.500000000000001e-08,0.75,2e-06,large_pore_tail,serial_fraction,full_material_model
E0043,425000.0,2e-05,400000.0,0.0002,550000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,5.0000000000000004e-08,0.65,0.002,isolation,serial_fraction,full_material_model
E0044,500000.0,2e-05,625000.0,0.0002,450000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,3.0000000000000004e-07,0.7,0.002,smoothing,serial_fraction,full_material_model
E0045,650000.0,2e-05,325000.0,0.0002,350000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,2.2500000000000002e-07,0.65,0.0002,large_pore_tail,serial_fraction,full_material_model
E0046,350000.0,2e-05,550000.0,0.0002,600000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.5000000000000002e-07,0.7,2e-05,isolation,serial_fraction,full_material_model
E0047,425000.0,2e-05,250000.0,0.0002,500000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,1.0000000000000001e-07,0.75,2e-06,smoothing,serial_fraction,full_material_model
E0048,500000.0,2e-05,475000.0,0.0002,400000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.0000000000000001e-07,0.7,2e-06,balanced,serial_fraction,full_material_model
E0049,575000.0,2e-05,250000.0,0.0002,350000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,7.500000000000001e-08,0.75,0.002,GB_to_TJ,serial_fraction,full_material_model
E0050,350000.0,2e-05,475000.0,0.0002,600000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,1,0.004,3.5e-08,0.35,5.0000000000000004e-08,0.65,0.0002,smoothing,serial_fraction,full_material_model
E0051,425000.0,2e-05,700000.0,0.0002,500000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,3.0000000000000004e-07,0.75,2e-05,balanced,serial_fraction,full_material_model
E0052,500000.0,2e-05,400000.0,0.0002,400000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,2.2500000000000002e-07,0.65,2e-05,GB_to_TJ,serial_fraction,full_material_model
E0053,575000.0,2e-05,625000.0,0.0002,650000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,1,0.004,3.5e-08,0.65,1.5000000000000002e-07,0.7,2e-06,large_pore_tail,serial_fraction,full_material_model
E0054,650000.0,2e-05,325000.0,0.0002,550000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,1.5000000000000002e-07,0.65,0.002,isolation,serial_fraction,full_material_model
E0055,425000.0,2e-05,550000.0,0.0002,450000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.0000000000000001e-07,0.7,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0056,500000.0,2e-05,325000.0,0.0002,400000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,7.500000000000001e-08,0.75,0.0002,large_pore_tail,serial_fraction,full_material_model
E0057,575000.0,2e-05,550000.0,0.0002,650000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,5.0000000000000004e-08,0.7,2e-05,isolation,serial_fraction,full_material_model
E0058,650000.0,2e-05,250000.0,0.0002,550000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,3.0000000000000004e-07,0.75,2e-06,smoothing,serial_fraction,full_material_model
E0059,350000.0,2e-05,475000.0,0.0002,450000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,2.2500000000000002e-07,0.65,0.002,balanced,serial_fraction,full_material_model
E0060,500000.0,2e-05,700000.0,0.0002,350000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,2.2500000000000002e-07,0.75,0.002,isolation,serial_fraction,full_material_model
E0061,575000.0,2e-05,400000.0,0.0002,600000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,1.5000000000000002e-07,0.65,0.0002,smoothing,serial_fraction,full_material_model
E0062,650000.0,2e-05,625000.0,0.0002,500000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.0000000000000001e-07,0.7,2e-05,balanced,serial_fraction,full_material_model
E0063,350000.0,2e-05,400000.0,0.0002,450000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.35,7.500000000000001e-08,0.65,2e-06,GB_to_TJ,serial_fraction,full_material_model
E0064,425000.0,2e-05,625000.0,0.0002,350000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,5.0000000000000004e-08,0.7,2e-06,large_pore_tail,serial_fraction,full_material_model
E0065,575000.0,2e-05,325000.0,0.0002,600000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,3.0000000000000004e-07,0.75,0.002,balanced,serial_fraction,full_material_model
E0066,650000.0,2e-05,550000.0,0.0002,500000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,1,0.004,3.5e-08,0.65,3.0000000000000004e-07,0.7,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0067,350000.0,2e-05,250000.0,0.0002,400000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,2.2500000000000002e-07,0.75,2e-05,large_pore_tail,serial_fraction,full_material_model
E0068,425000.0,2e-05,475000.0,0.0002,650000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,1.5000000000000002e-07,0.65,2e-05,isolation,serial_fraction,full_material_model
E0069,500000.0,2e-05,700000.0,0.0002,550000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,1,0.004,3.5e-08,0.95,1.0000000000000001e-07,0.75,2e-06,smoothing,serial_fraction,full_material_model
E0070,650000.0,2e-05,475000.0,0.0002,500000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,7.500000000000001e-08,0.65,0.002,large_pore_tail,serial_fraction,full_material_model
E0071,350000.0,2e-05,700000.0,0.0002,400000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,5.0000000000000004e-08,0.7,0.0002,isolation,serial_fraction,full_material_model
E0072,425000.0,2e-05,400000.0,0.0002,650000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.35,5.0000000000000004e-08,0.65,0.0002,smoothing,serial_fraction,full_material_model
E0073,500000.0,2e-05,625000.0,0.0002,550000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,3.0000000000000004e-07,0.7,2e-05,balanced,serial_fraction,full_material_model
E0074,575000.0,2e-05,325000.0,0.0002,450000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,2.2500000000000002e-07,0.75,2e-06,GB_to_TJ,serial_fraction,full_material_model
E0075,350000.0,2e-05,550000.0,0.0002,350000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,1,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.5000000000000002e-07,0.7,0.002,smoothing,serial_fraction,full_material_model
E0076,425000.0,2e-05,250000.0,0.0002,600000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,1.0000000000000001e-07,0.75,0.002,balanced,serial_fraction,full_material_model
E0077,500000.0,2e-05,550000.0,0.0002,550000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,7.500000000000001e-08,0.65,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0078,575000.0,2e-05,250000.0,0.0002,450000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,7.500000000000001e-08,0.75,2e-05,large_pore_tail,serial_fraction,full_material_model
E0079,650000.0,2e-05,475000.0,0.0002,350000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.35,5.0000000000000004e-08,0.65,2e-06,isolation,serial_fraction,full_material_model
E0080,425000.0,2e-05,700000.0,0.0002,600000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,3.0000000000000004e-07,0.7,2e-06,GB_to_TJ,serial_fraction,full_material_model
E0081,500000.0,2e-05,400000.0,0.0002,500000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,2.2500000000000002e-07,0.65,0.002,large_pore_tail,serial_fraction,full_material_model
E0082,575000.0,2e-05,625000.0,0.0002,400000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,1,0.004,3.5e-08,0.65,1.5000000000000002e-07,0.7,0.0002,isolation,serial_fraction,full_material_model
E0083,650000.0,2e-05,325000.0,0.0002,650000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,1.0000000000000001e-07,0.75,2e-05,smoothing,serial_fraction,full_material_model
E0084,350000.0,2e-05,625000.0,0.0002,600000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.0000000000000001e-07,0.7,2e-05,balanced,serial_fraction,full_material_model
E0085,500000.0,2e-05,325000.0,0.0002,500000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,1,0.004,3.5e-08,0.95,7.500000000000001e-08,0.75,2e-06,isolation,serial_fraction,full_material_model
E0086,575000.0,2e-05,550000.0,0.0002,400000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,5.0000000000000004e-08,0.65,0.002,smoothing,serial_fraction,full_material_model
E0087,650000.0,2e-05,250000.0,0.0002,650000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,3.0000000000000004e-07,0.75,0.0002,balanced,serial_fraction,full_material_model
E0088,350000.0,2e-05,475000.0,0.0002,550000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.35,2.2500000000000002e-07,0.65,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0089,425000.0,2e-05,700000.0,0.0002,450000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,1.5000000000000002e-07,0.7,2e-05,large_pore_tail,serial_fraction,full_material_model
E0090,575000.0,2e-05,400000.0,0.0002,350000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,1.5000000000000002e-07,0.65,2e-06,balanced,serial_fraction,full_material_model
E0091,650000.0,2e-05,700000.0,0.0002,650000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,1,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.0000000000000001e-07,0.7,0.002,GB_to_TJ,serial_fraction,full_material_model
E0092,350000.0,2e-05,400000.0,0.0002,550000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,7.500000000000001e-08,0.75,0.002,large_pore_tail,serial_fraction,full_material_model
E0093,425000.0,2e-05,625000.0,0.0002,450000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,5.0000000000000004e-08,0.7,0.0002,isolation,serial_fraction,full_material_model
E0094,500000.0,2e-05,325000.0,0.0002,350000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,3.0000000000000004e-07,0.75,2e-05,smoothing,serial_fraction,full_material_model
E0095,650000.0,2e-05,550000.0,0.0002,600000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.35,2.2500000000000002e-07,0.65,2e-06,large_pore_tail,serial_fraction,full_material_model
E0096,350000.0,2e-05,250000.0,0.0002,500000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,2.2500000000000002e-07,0.75,2e-06,isolation,serial_fraction,full_material_model
E0097,425000.0,2e-05,475000.0,0.0002,400000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,1.5000000000000002e-07,0.65,0.002,smoothing,serial_fraction,full_material_model
E0098,500000.0,2e-05,250000.0,0.0002,350000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,1,0.004,3.5e-08,0.65,1.0000000000000001e-07,0.7,0.0002,balanced,serial_fraction,full_material_model
E0099,575000.0,2e-05,475000.0,0.0002,600000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,7.500000000000001e-08,0.65,2e-05,GB_to_TJ,serial_fraction,full_material_model
E0100,350000.0,2e-05,700000.0,0.0002,500000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,5.0000000000000004e-08,0.7,2e-05,smoothing,serial_fraction,full_material_model
E0101,425000.0,2e-05,400000.0,0.0002,400000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,1,0.004,3.5e-08,0.95,3.0000000000000004e-07,0.75,2e-06,balanced,serial_fraction,full_material_model
