case_id,T_peak_C,hold_h,reference_rate_C_min,fast_rate_C_min,rho,G_reference_nm,G_fast_nm,G_reference_over_G_fast,percent_reduction,both_attained
P001,1500,0,0.2,100,0.8010347759096357,3006.2234940861003,71.40638759102985,42.1002041344512,97.62471460516818,True
P001,1500,0,0.2,100,0.8070685385567715,3125.8712386204606,73.6601245580813,42.43640989441578,97.64353298856322,True
P001,1500,0,0.2,100,0.8131023012039073,3245.5189831548187,75.9138615251327,42.75265304585157,97.66096387298464,True
P001,1500,0,0.2,100,0.8191360638510431,3365.166727689179,78.16759849218414,43.05066028126292,97.67715525507228,True
P001,1500,0,0.2,100,0.8251698264981789,3484.8144722235393,80.42133545923559,43.33196473701859,97.69223480617832,True
P001,1500,0,0.2,100,0.8312035891453148,3604.462216757899,82.67507242628703,43.59793237522268,97.7063132457898,True
P001,1500,0,0.2,100,0.8372373517924506,3724.10996129226,84.92880939333848,43.84978416504642,97.71948706466584,True
P001,1500,0,0.2,100,0.8432711144395865,3843.75770582662,87.18254636038992,44.08861482363142,97.7318407393829,True
P001,1500,0,0.2,100,0.8493048770867223,3963.405450360981,89.43628332744136,44.315408723440385,97.74344854576267,True
P001,1500,0,0.2,100,0.8553386397338582,4083.0531948953408,91.6900202944928,44.531053453595774,97.75437605346109,True
P001,1500,0,0.2,100,0.861372402380994,4202.700939429701,93.94375726154423,44.73635142917656,97.76468136525811,True
P001,1500,0,0.2,100,0.8674061650281298,4322.348683964062,96.1974942285957,44.932029868603365,97.77441615051814,True
P001,1500,0,0.2,100,0.8734399276752657,4441.996428498422,98.45123119564714,45.11874940061509,97.78362651162853,True
P001,1500,0,0.2,100,0.8794736903224015,4561.644173032782,100.70496816269858,45.29711151552133,97.7923537140832,True
P001,1500,0,0.2,100,0.8855074529695374,4681.291917567142,102.95870512975004,45.46766503781989,97.8006348046063,True
P001,1500,0,0.2,100,0.8915412156166732,4800.939662101503,105.21244209680148,45.63091176692167,97.80850313684743,True
P001,1500,0,0.2,100,0.897574978263809,4920.587406635863,107.46617906385292,45.78731140810552,97.81598882038098,True
P001,1500,0,0.2,100,0.9036087409109448,5040.235151170224,109.71991603090436,45.93728589575808,97.82311910575385,True
P001,1500,0,0.2,100,0.9096425035580809,5159.8828957045835,111.9736529979558,46.08122319452044,97.82991871596214,True
P001,1500,0,0.2,100,0.9156762662052166,5279.530640238944,114.22738996500723,46.21948065044899,97.83641013285536,True
P001,1500,0,0.2,100,0.9217100288523524,5399.178384773304,116.48112693205869,46.35238795313636,97.8426138454592,True
P001,1500,0,0.2,100,0.9277437914994884,5518.826129307665,118.73486389911014,46.48024976048358,97.84854856599722,True
P001,1500,0,0.2,100,0.933777554146624,5638.473873842025,120.98860086616158,46.60334803011189,97.85423141840823,True
P001,1500,0,0.2,100,0.93981131679376,5758.121618376385,123.242337833213,46.72194409496676,97.85967810336102,True
P001,1500,0,0.2,100,0.9458450794408958,5877.769362910745,125.49607480026444,46.836280515272016,97.86490304311435,True
