material_id,ablation_mode,path,t_h,T_C,rho,G_nm,tau_nuc,tau_exchange,tau_transport,activity,rho_dot,G_dot,cumulative_growth_before_activation_nm,cumulative_growth_during_densification_nm,PR_exposure,pore_D50_nm,pore_D90_nm,connected_fine
E0142,transport_only,fast,0.3334283357849545,1025.2850073548636,0.8650753647893009,75.00026467482056,20699.342204842174,1.4352360240651159,0.0034141654539346796,421.3768222219775,0.3514962526077424,7.76582551567516e-13,0.0,0.00026467482053944217,295.32024327055314,31.729490546762992,53.888774341229976,0.6000331814204258
E0142,transport_only,fast,0.33342992677926836,1025.289780337805,0.8670753647893009,75.00026912295758,20586.666714367217,1.435116299032298,0.003413747379431573,421.3932334533966,0.3453635520671462,7.766750595100395e-13,0.0,0.0002691229575622036,295.3202432705545,31.729490546762992,53.888774341229976,0.5894919604101999
E0142,transport_only,fast,0.3334315462061572,1025.2946386184717,0.8690753647893009,75.00027365112994,20471.957778422842,1.4349944455601684,0.003413321889324467,421.40993849665,0.33923644859163715,7.767692312694391e-13,0.0,0.0002736511299340576,295.32024327055586,31.729490546762992,53.888774341229976,0.5789615978172646
E0142,transport_only,fast,0.33343319507261787,1025.2995852178537,0.8710753647893009,75.00027826218283,20355.15864484393,1.4348703884799598,0.0034128887220431555,421.4269477678611,0.33311513942058363,7.768651259790682e-13,0.0,0.0002782621828254393,295.3202432705572,31.729490546762992,53.888774341229976,0.5684424512351716
E0142,transport_only,fast,0.33343487443905007,1025.3046233171503,0.8730753647893009,75.00028295911267,20236.21045682415,1.4347440486448486,0.0034124476021870687,421.4442722359482,0.3269998315022578,7.769628059162451e-13,0.0,0.00028295911265510416,295.3202432705586,31.729490546762992,53.888774341229976,0.5579348954627276
E0142,transport_only,fast,0.33343658542304333,1025.30975626913,0.8750753647893009,75.00028774507787,20115.052154790617,1.4346153426483839,0.0034119982395472413,421.4619234618221,0.3208907420837301,7.770623367256819e-13,0.0,0.00028774507786332874,295.32024327055996,31.729490546762992,53.888774341229976,0.5474393235383475
E0142,transport_only,fast,0.3334383292035007,1025.3149876105022,0.8770753647893009,75.0002926234107,19991.620372421105,1.4344841825178163,0.003411540328040895,421.4799136411149,0.3147880993419268,7.77163787662783e-13,0.0,0.00029262341069096246,295.3202432705613,31.729490546762992,53.888774341229976,0.5369561478461634
E0142,transport_only,fast,0.3334401070251363,1025.320321075409,0.8790753647893009,75.00029759762991,19865.849326330903,1.434350475379765,0.0034110735445500415,421.49825565076515,0.30869214305898185,7.772672318590969e-13,0.0,0.00029759762989815656,295.3202432705627,31.729490546762992,53.888774341229976,0.5264858012994749
E0142,transport_only,fast,0.33344192020338925,1025.325760610168,0.8810753647893009,75.00030267145473,19737.670698899088,1.4342141230949528,0.003410597547652794,421.51696309990984,0.30260312534542894,7.773727466123179e-13,0.0,0.0003026714547271732,295.32024327056405,31.729490546762992,53.888774341229976,0.5160287386075953
E0142,transport_only,fast,0.3334437701297979,1025.3313103893938,0.8830753647893009,75.00030784882016,19607.013513647376,1.4340750218587195,0.0034101119762357515,421.5360503855717,0.2965213114149883,7.774804137035761e-13,0.0,0.0003078488201489782,295.3202432705654,31.729490546762992,53.888774341229976,0.5055854376326911
E0142,transport_only,fast,0.33344565827788925,1025.3369748336677,0.8850753647893009,75.00031313389367,19473.804002516015,1.4339330617633643,0.003409616447974109,421.55553275365156,0.2904469804150503,7.775903197451476e-13,0.0,0.0003131338936583162,295.320243270567,31.729490546762992,53.888774341229976,0.4951564008437847
