mode,state_kind,T2_C,hold_h,initial_rho,initial_G_nm,closed_fraction_at_switch,A_closed_at_switch,PR_memory_at_switch,final_rho,final_G_um,Delta_rho_open,Delta_rho_closed,PR_topology_transfer,closed_inventory_formed,final_A_closed,classification,strict_success,candidate_state_injected,diagnostic_only
baseline_forward_current,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9164206303850364,0.16188478615521765,0.006583739767952614,0.029190343938939968,9.586653339147825e-06,0.010724529609604731,0.9948507930439631,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9253363083464949,0.19321784600350508,0.009337661052759572,0.035327823819439455,1.738408966654185e-05,0.010203830283900858,0.9937249843451119,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9371716088298228,0.24217912514091094,0.012440641545721196,0.04428071232922256,2.9634948020833607e-05,0.009699175599675675,0.9924474394334367,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9515274644672297,0.3172428839942591,0.015633449619907487,0.05571878553411752,4.7406202239428187e-05,0.009332130231521478,0.9915622290535627,MIXED_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9666593884891478,0.43164038272749916,0.018981853411232548,0.06808487087521513,7.275760190767764e-05,0.009299997202624755,0.991732113106245,MIXED_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1275,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9801210873439871,0.6062648765880305,0.02263417626210839,0.07901682456687512,0.0001086662519025728,0.009282576204194735,0.993131938408782,GRAIN_GROWTH_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1300,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9899878499924396,0.8720026313876834,0.02717225671592988,0.08660905600198536,0.00016108471104191608,0.00927321191380688,0.995274515546053,GRAIN_GROWTH_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.88381846609321,0.11702987295190607,5.798947706431618e-06,0.003784938389280802,7.637459033775949e-10,0.01370040419355827,0.9992590500330624,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8850095053737896,0.1170722751716866,1.4812327711301583e-05,0.004958504295141819,2.524506527140982e-09,0.013543584930158442,0.9990426355451922,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,950,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8864836694402318,0.1171687972841706,3.634038450213781e-05,0.006400585191893127,7.93382946547483e-09,0.013364336737011392,0.9987848371344661,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,975,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8882894243079382,0.11738126629148476,8.574242141620314e-05,0.008143592105739639,2.3740626791690657e-08,0.013160890097667877,0.9984845132024043,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1000,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8904898491513595,0.11783414238299998,0.00019458398905526685,0.010217684733310613,6.761862452359387e-08,0.012928394654673145,0.9981417050634654,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1025,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8931783126193459,0.11876946006797098,0.0004240138233805371,0.012652337038776558,1.8272114528668882e-07,0.01265982332730857,0.9977563371880878,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1050,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8964949075909313,0.1206397745839705,0.0008768405984796608,0.015481113304698783,4.6519717483119785e-07,0.012344247360767885,0.9973244202648883,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9005585225769724,0.12424784044847437,0.0016542133154360617,0.018714496372623537,1.1092404082838555e-06,0.011998060470783105,0.9968226420793336,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9051301507578858,0.13089078549606592,0.002828545023190327,0.022023906099118085,2.4655034730336867e-06,0.011638744469449491,0.9961548973956869,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9099232667972811,0.1424552857410118,0.0044776840250580425,0.025032901579633386,5.0660789256884194e-06,0.011211998519647931,0.9956411991252679,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9164206303850364,0.16188478615521765,0.006583739767952614,0.029190343938939968,9.586653339147825e-06,0.010724529609604731,0.9948507930439631,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9253363083464949,0.19321784600350508,0.009337661052759572,0.035327823819439455,1.738408966654185e-05,0.010203830283900858,0.9937249843451119,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9371716088298228,0.24217912514091094,0.012440641545721196,0.04428071232922256,2.9634948020833607e-05,0.009699175599675675,0.9924474394334367,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9515274644672297,0.3172428839942591,0.015633449619907487,0.05571878553411752,4.7406202239428187e-05,0.009332130231521478,0.9915622290535627,MIXED_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9666593884891478,0.43164038272749916,0.018981853411232548,0.06808487087521513,7.275760190767764e-05,0.009299997202624755,0.991732113106245,MIXED_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1275,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9801210873439871,0.6062648765880305,0.02263417626210839,0.07901682456687512,0.0001086662519025728,0.009282576204194735,0.993131938408782,GRAIN_GROWTH_FAILURE,False,True,True
defined_laws_port,candidate_like_injected,1300,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9899878499924396,0.8720026313876834,0.02717225671592988,0.08660905600198536,0.00016108471104191608,0.00927321191380688,0.995274515546053,GRAIN_GROWTH_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9282910085723566,0.11702994238162309,4.728110352997018e-06,0.04804473627460849,7.273636414081381e-10,0.010389288457897506,0.9947701553542885,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9353834887148089,0.11707250331006414,1.1595411909124834e-05,0.05510272794853049,2.38391436621047e-09,0.010108084747614971,0.9946302079253753,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,950,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9422662835412685,0.11716950875551792,2.725480933661534e-05,0.06193957493113559,7.430817649435746e-09,0.00990656679090998,0.9946159581332887,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,975,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9488198237666406,0.11738337767310969,6.15521171930866e-05,0.06842338022992173,2.2078084078095436e-08,0.00976549743786449,0.9947113261574807,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,1000,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9549749058859821,0.11784012141378963,0.0001338131492359459,0.07446195322065507,6.259569843971019e-08,0.009672766473134295,0.9948919175643302,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,1025,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.960723974901192,0.11878565765559476,0.00028027767432883317,0.08000603664658787,1.6922891717118706e-07,0.009582439143680788,0.9951259189269803,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,1050,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9661144268257577,0.12068172617105419,0.0005598545278778955,0.08504597225163274,4.3508783647431484e-07,0.009555044146518274,0.9953863176631262,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9711862800834152,0.12435129461551392,0.0010342095428270313,0.08955320726751012,1.0611307217006727e-06,0.009523721325249396,0.9956427350091582,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9760269820282932,0.1311788920327883,0.001796374011314655,0.09350057959353371,2.4347060580557825e-06,0.009483461792138837,0.9958707524716209,SUCCESS,True,True,True
